mean_256_499,mean_256_749,mean_512_499,sd_256_499,sd_256_749,sd_512_499
0.069575928231829,0.318700532486082,0.546028858727981,0.519362684972561,0.437155476907225,0.496453339360999
0.423049863083272,0.237572130021683,0.318263949659192,0.300701083463643,0.523452202645359,0.474266585564361
0.425565845672827,0.213804913977159,0.425612461834032,0.402745746691519,0.451962888716418,0.555495292980834
0.110580291269235,0.298054173334827,0.512719893588973,0.504917225842043,0.470739671890504,0.381121792482492
0.315873136725666,0.157151453825165,0.507530493746895,0.608278181840042,0.643314042493193,0.439843845307305
0.0307252200840886,0.140435860801476,0.655762436625349,0.585422891092073,0.451498904508584,0.308174620629734
0.271404016928667,0.145706241953741,0.489219488993676,0.505890248512719,0.618409035757849,0.492063863327533
0.329224768603165,0.129203536403764,0.423113147423804,0.407650228243971,0.550094716614011,0.414133663417781
0.0129793682519727,0.134972914167109,0.480219272307452,0.62198666967468,0.440757669411832,0.516126121789048
0.297246265638299,0.194633018121226,0.653154567614301,0.436531660794612,0.589928469132045,0.377156492585592
